init,     2026-04-08 14:20:08.315999
arguments,Namespace(lr=0.001, gamma=0.97, entropy=0.1, PPO_epochs=5, eps_clip=0.2, alg='ppo', cuda=-1, thread=-1, train_num=2000, rep=11, ignore_checkpoint=False, monitor_time=False, task='gymip', model='rwtaprob', optimizer='rmsprop', gymip_train_xml='inverted_pendulum_ChangeThk_0.050000.xml', hidden_num=64, hid_group_num=8, hid_group_size=8, rwta_del_connection='none', response_window=40, snn_num_steps=15, road_scenario='merge', traffic_level='standard', skip_post_tests=False)
model_dir,/root/autodl-tmp/SVPG2023/LANE/training_runs/baseline/merge/models
log_dir,  /root/autodl-tmp/SVPG2023/LANE/training_runs/baseline/merge/logs
train,    903, -55.032395
train,    904, -55.312049
train,    905, -55.282678
train,    906, -55.663236
train,    907, -54.928190
train,    908, 30.748144
train,    909, -54.107642
train,    910, -54.401500
train,    911, -60.246085
train,    912, -60.346649
train,    913, -60.420692
train,    914, -54.269705
train,    915, -60.135006
train,    916, -60.257343
train,    917, -57.555888
train,    918, -60.400717
train,    919, -60.053612
train,    920, -54.401447
train,    921, -54.152719
train,    922, -54.003825
train,    923, -60.342276
train,    924, -60.397875
train,    925, -60.349920
train,    926, -60.798181
train,    927, -61.237118
train,    928, -60.495500
train,    929, -55.411053
train,    930, -61.987231
train,    931, -61.404278
train,    932, -61.411980
train,    933, -61.400385
train,    934, -61.033823
train,    935, -61.564861
train,    936, -62.317652
train,    937, -60.387635
train,    938, -60.796357
train,    939, -60.135193
train,    940, -60.402295
train,    941, -60.052496
train,    942, -60.295252
train,    943, -60.135386
train,    944, -60.353884
train,    945, -60.384160
train,    946, -60.261171
train,    947, -60.322937
train,    948, -60.705114
train,    949, -60.649233
train,    950, -54.414304
train,    951, 31.420464
train,    952, -54.877833
train,    953, -60.635638
train,    954, -56.716020
train,    955, -54.716821
train,    956, 29.509365
train,    957, -55.663195
train,    958, -55.497821
train,    959, -55.347717
train,    960, -54.716286
train,    961, 31.354875
train,    962, -54.086025
train,    963, -61.748294
train,    964, -54.623031
train,    965, 31.134510
train,    966, -54.219413
train,    967, -60.370241
train,    968, -61.094459
train,    969, -60.897998
train,    970, -60.599043
train,    971, -60.371525
train,    972, -60.130821
train,    973, 36.489548
train,    974, -60.138095
train,    975, -60.161756
train,    976, 32.034298
train,    977, -60.055229
train,    978, -60.279534
train,    979, -60.303015
train,    980, -60.248542
train,    981, -60.381898
train,    982, -60.134608
train,    983, -54.219351
train,    984, -60.647565
train,    985, -60.328377
train,    986, -60.930257
train,    987, -60.134526
train,    988, -60.056799
train,    989, -60.135121
train,    990, -54.003926
train,    991, -60.259403
train,    992, -60.056618
train,    993, -60.371113
train,    994, -60.052507
train,    995, -54.003970
train,    996, -60.308015
train,    997, -60.226249
train,    998, -60.056741
train,    999, -60.058704
val,      999,   -60.170890,   -60.058704
train,    1000, -60.248447
train,    1001, -60.326573
train,    1002, -60.053984
train,    1003, -60.258591
train,    1004, -60.353570
train,    1005, -60.305300
train,    1006, -60.279030
train,    1007, -60.248793
train,    1008, -60.176714
train,    1009, -57.555015
train,    1010, -60.053087
train,    1011, -60.287087
train,    1012, -60.055449
train,    1013, -60.389746
train,    1014, -60.280146
train,    1015, -60.055921
train,    1016, -60.130709
train,    1017, -60.235956
train,    1018, -60.349956
train,    1019, -60.288702
train,    1020, -60.131197
train,    1021, -60.728035
train,    1022, -60.053960
train,    1023, -60.330390
train,    1024, -60.290920
